myX, myY
1993,7766720078
1994,13547871733
1995,12741629470
1996,15826340652
1997,17577353181
1998,7955730401
1999,6469035211
2000,9228204144
2001,11683151345
2002,13943825063
2003,16973739085
2004,20955413571
2005,27336977274
2006,34517781619
2007,43534994996
2008,56183785393
2009,51532116798
2010,58720227609
2011,70237523951
2012,81469399931
2013,88352896464
2014,84696504653
2015,66421822180
2016,69245294553
2017,66913033537
2018,61609204756
2019,65201335848
2020,61712537169
2021,65907705047
2022,86373102251

